Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
ABCAPITAL.NS,2023-05-31,171.35,2023-06-02,174.25,58,148.15,1.49,Exit rule,2
AJANTPHARM.NS,2023-05-18,1277.35,2023-06-05,1329.7,7,348.2,3.89,Exit rule,18
MAZDOCK.NS,2023-05-24,383.9,2023-06-06,507.95,26,3202.11,32.05,Exit rule,13
JKCEMENT.NS,2023-05-26,2955.0,2023-06-07,3264.0,3,908.34,10.24,Exit rule,12
JBCHEPHARM.NS,2023-05-26,1025.4,2023-06-07,1061.0,9,301.62,3.27,Exit rule,12
PHOENIXLTD.NS,2023-05-29,744.475,2023-06-08,810.8,13,842.01,8.69,Exit rule,10
KEI.NS,2023-06-02,2068.8999,2023-06-08,2177.0,4,415.42,5.01,Exit rule,6
BLUESTARCO.NS,2023-05-25,718.5,2023-06-13,746.425,13,343.98,3.68,Exit rule,19
ASHOKLEY.NS,2023-06-06,74.925,2023-06-15,78.05,133,395.28,3.96,Exit rule,9
ZYDUSLIFE.NS,2023-05-23,509.95,2023-06-16,552.15,19,781.62,8.06,Exit rule,24
SJVN.NS,2023-06-08,38.15,2023-06-16,39.15,261,240.82,2.42,Exit rule,8
POLICYBZR.NS,2023-06-07,632.3,2023-06-20,655.0,15,321.19,3.38,Exit rule,13
DEEPAKNTR.NS,2023-06-15,2127.0,2023-06-21,2248.95,4,470.3,5.52,Exit rule,6
IGL.NS,2023-06-22,241.9,2023-06-23,244.275,41,77.44,0.78,Exit rule,1
GRASIM.NS,2023-06-05,1712.192,2023-06-26,1709.2039,5,-32.05,-0.37,Exit rule,21
SUNPHARMA.NS,2023-06-28,995.0,2023-06-30,1021.75,10,247.33,2.48,Exit rule,2
COLPAL.NS,2023-06-08,1636.7,2023-07-03,1688.1,6,288.45,2.93,Exit rule,25
SOLARINDS.NS,2023-06-30,3780.05,2023-07-03,3739.3,2,-96.54,-1.28,Exit rule,3
RBLBANK.NS,2023-06-28,174.2,2023-07-07,187.0,57,709.01,7.13,Exit rule,9
HEROMOTOCO.NS,2023-07-03,2875.0,2023-07-07,3150.0,3,806.93,9.35,Exit rule,4
SCHAEFFLER.NS,2023-07-03,3111.0,2023-07-11,2998.8,3,-354.93,-3.8,Exit rule,8
BAJAJHLDNG.NS,2023-05-25,6900.0,2023-07-13,7401.2998,1,487.0,7.05,Exit rule,49
NCC.NS,2023-05-26,117.75,2023-07-13,135.75,84,1490.71,15.06,Exit rule,48
LTTS.NS,2023-06-13,3918.0,2023-07-17,4128.0,2,403.91,5.15,Exit rule,34
TATASTEEL.NS,2023-07-11,115.6,2023-07-17,117.95,86,182.01,1.83,Exit rule,6
IRFC.NS,2023-06-08,34.15,2023-07-24,35.5,292,373.86,3.75,Exit rule,46
HCLTECH.NS,2023-07-17,1151.95,2023-07-24,1120.0,8,-273.78,-2.97,Exit rule,7
TORNTPOWER.NS,2023-07-07,644.0,2023-07-25,612.0,15,-498.84,-5.16,Exit rule,18
PAYTM.NS,2023-07-13,867.0,2023-07-26,794.75,11,-813.03,-8.52,Exit rule,13
AJANTPHARM.NS,2023-07-17,1451.4,2023-07-28,1697.95,6,1460.4,16.75,Exit rule,11
ASTRAL.NS,2023-07-24,1923.95,2023-07-28,1906.0,5,-108.9,-1.13,Exit rule,4
HDFCBANK.NS,2023-07-26,849.8,2023-07-31,825.025,11,-290.95,-3.11,Exit rule,5
BALKRISIND.NS,2023-07-13,2412.8,2023-08-01,2553.0,4,540.94,5.6,Exit rule,19
ANGELONE.NS,2023-07-24,162.985,2023-08-01,154.94,61,-510.14,-5.13,Exit rule,8
TATAPOWER.NS,2023-07-31,236.55,2023-08-02,244.7,42,322.09,3.24,Exit rule,2
PAYTM.NS,2023-08-01,802.8,2023-08-02,787.0,12,-208.68,-2.16,Exit rule,1
MARUTI.NS,2023-06-30,9569.0,2023-08-04,9560.0,1,-28.13,-0.29,Exit rule,35
COALINDIA.NS,2023-08-02,241.15,2023-08-04,232.8,41,-361.78,-3.66,Exit rule,2
BAJAJ-AUTO.NS,2023-06-30,4636.0,2023-08-07,4743.5498,2,196.34,2.12,Exit rule,38
BLUESTARCO.NS,2023-08-01,789.75,2023-08-07,764.4,12,-322.85,-3.4,Exit rule,6
DIXON.NS,2023-08-04,4500.4502,2023-08-09,4850.0498,2,680.5,7.55,Exit rule,5
ICICIPRULI.NS,2023-07-25,567.05,2023-08-10,578.25,17,170.93,1.77,Exit rule,16
DLF.NS,2023-07-28,509.0,2023-08-14,479.0,19,-588.77,-6.08,Exit rule,17
PRESTIGE.NS,2023-07-31,594.0,2023-08-16,549.8,16,-725.5,-7.63,Exit rule,16
