Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
STARCEMENT.NS,2025-01-23,222.27,2025-01-29,210.1,44,-554.5,-5.66,Exit rule,6
ZENSARTECH.NS,2025-01-24,841.7,2025-02-01,875.9,11,357.31,3.86,Exit rule,8
TORNTPHARM.NS,2025-01-28,3321.1001,2025-02-01,3275.0,3,-158.09,-1.59,Exit rule,4
CARERATING.NS,2025-01-30,1330.0,2025-02-01,1245.0,7,-613.02,-6.58,Exit rule,2
COROMANDEL.NS,2025-01-31,1834.0,2025-02-01,1824.4,5,-66.29,-0.72,Exit rule,1
EICHERMOT.NS,2025-01-27,5190.0,2025-02-03,5575.0,1,374.24,7.2,Exit rule,7
M&M.NS,2025-01-31,2970.0,2025-02-06,3170.0,3,581.58,6.52,Exit rule,6
ERIS.NS,2025-02-06,1162.0,2025-02-10,1464.15,8,2396.19,25.75,Exit rule,4
INFY.NS,2025-02-05,1906.0,2025-02-11,1883.1,5,-133.45,-1.4,Exit rule,6
SUNDARMFIN.NS,2025-02-05,4606.0,2025-02-12,4345.0498,2,-539.8,-5.85,Exit rule,7
BSE.NS,2025-02-06,1952.6666,2025-02-12,1731.3334,5,-1125.09,-11.51,Exit rule,6
BIOCON.NS,2025-02-06,390.25,2025-02-12,360.95,25,-751.28,-7.69,Exit rule,6
INDUSTOWER.NS,2025-02-10,363.25,2025-02-12,349.0,27,-403.98,-4.11,Exit rule,2
PATANJALI.NS,2025-02-07,607.2167,2025-02-13,599.0,16,-150.77,-1.55,Exit rule,6
PGHL.NS,2025-02-13,5432.7998,2025-02-14,5303.0,1,-140.54,-2.58,Exit rule,1
BSE.NS,2025-02-13,1788.0,2025-02-14,1778.3334,5,-66.16,-0.74,Exit rule,1
LAURUSLABS.NS,2025-01-31,585.0,2025-02-17,544.0,17,-716.19,-7.19,Exit rule,17
DIVISLAB.NS,2025-02-04,6049.9502,2025-02-17,5832.0,1,-229.83,-3.8,Exit rule,13
AAVAS.NS,2025-02-13,1691.2,2025-02-17,1680.6,5,-69.86,-0.83,Exit rule,4
BHARTIARTL.NS,2025-02-27,1643.4,2025-03-03,1579.0,6,-405.73,-4.11,Exit rule,4
HDFCBANK.NS,2025-03-03,869.9,2025-03-04,849.0,11,-248.81,-2.6,Exit rule,1
SRF.NS,2025-02-28,2826.1001,2025-03-10,2945.0,3,339.39,4.0,Exit rule,10
ASTRAZEN.NS,2025-03-05,7180.7998,2025-03-11,7590.0,1,394.43,5.49,Exit rule,6
ICICIBANK.NS,2025-03-12,1246.95,2025-03-19,1305.6,8,448.78,4.49,Exit rule,7
BLUESTARCO.NS,2025-03-04,2000.0,2025-03-20,2239.0,4,939.04,11.73,Exit rule,16
MUTHOOTFIN.NS,2025-03-18,2290.2,2025-03-20,2425.3501,4,521.74,5.69,Exit rule,2
RPOWER.NS,2025-03-20,38.11,2025-03-21,36.46,262,-451.84,-4.52,Exit rule,1
BAJAJFINSV.NS,2025-03-18,1871.6,2025-03-26,1951.0,5,377.89,4.03,Exit rule,8
SUNDARMFIN.NS,2025-03-13,4650.0,2025-03-28,4572.1001,2,-174.24,-1.87,Exit rule,15
REDINGTON.NS,2025-03-24,251.4,2025-04-02,232.2,39,-767.66,-7.82,Exit rule,9
FSL.NS,2025-03-28,350.7,2025-04-02,333.4,28,-503.56,-5.12,Exit rule,5
UPL.NS,2025-03-18,626.15,2025-04-08,619.0,15,-125.93,-1.34,Exit rule,21
KFINTECH.NS,2025-04-21,1121.1,2025-04-22,1215.0,8,732.51,8.16,Exit rule,1
SHRIRAMFIN.NS,2025-04-15,651.95,2025-04-29,625.0,15,-423.4,-4.33,Exit rule,14
AVANTIFEED.NS,2025-04-16,849.0,2025-04-30,890.4,11,436.27,4.67,Exit rule,14
REDINGTON.NS,2025-04-24,238.0,2025-04-30,247.95,41,388.03,3.97,Exit rule,6
SRF.NS,2025-04-15,3005.0,2025-05-02,3009.0,3,-6.04,-0.07,Exit rule,17
LAURUSLABS.NS,2025-04-15,611.55,2025-05-09,578.0,16,-555.83,-5.67,Exit rule,24
CHOLAFIN.NS,2025-04-09,1475.0,2025-05-22,1652.5,6,1046.24,11.81,Exit rule,43
MANKIND.NS,2025-05-13,2500.0,2025-05-23,2455.0,3,-149.86,-2.0,Exit rule,10
RAMCOCEM.NS,2025-05-09,922.0,2025-05-26,1005.0,10,810.73,8.78,Exit rule,17
RPOWER.NS,2025-05-13,43.0,2025-05-26,52.9,232,2274.55,22.78,Exit rule,13
RELINFRA.NS,2025-05-13,256.9,2025-05-26,306.9,38,1878.58,19.22,Exit rule,13
UNIONBANK.NS,2025-05-12,126.0,2025-05-27,140.0,79,1084.99,10.89,Exit rule,15
LLOYDSME.NS,2025-05-13,1266.5,2025-05-27,1356.0,7,608.14,6.85,Exit rule,14
ORIENTCEM.NS,2025-05-12,356.9,2025-06-03,349.9,27,-208.08,-2.16,Exit rule,22
KFINTECH.NS,2025-06-03,1142.9,2025-06-04,1145.0,8,-1.5,-0.02,Exit rule,1
MUTHOOTFIN.NS,2025-06-02,2208.0,2025-06-06,2303.8999,4,365.55,4.13,Exit rule,4
GODREJCP.NS,2025-06-03,1264.1,2025-06-06,1220.0,7,-326.09,-3.68,Exit rule,3
SBICARD.NS,2025-04-09,840.2,2025-06-09,995.1,11,1683.71,18.2,Exit rule,61
PNBHOUSING.NS,2025-06-03,1080.0,2025-06-10,1136.0,9,484.06,4.98,Exit rule,7
UNITDSPR.NS,2025-06-03,1579.0,2025-06-12,1505.0,6,-462.5,-4.88,Exit rule,9
JUBLFOOD.NS,2025-06-05,687.0,2025-06-13,665.4,14,-321.33,-3.34,Exit rule,8
GREAVESCOT.NS,2025-06-10,214.5,2025-06-13,200.7,46,-653.9,-6.62,Exit rule,3
INDIGO.NS,2025-05-13,5501.0,2025-06-16,5280.0,1,-231.78,-4.21,Exit rule,34
NH.NS,2025-05-27,1781.6,2025-06-16,1924.0,5,693.47,7.78,Exit rule,20
CHOLAFIN.NS,2025-06-09,1620.0,2025-06-16,1555.0,6,-409.05,-4.2,Exit rule,7
PTC.NS,2025-06-12,180.5,2025-06-19,174.92,55,-326.45,-3.29,Exit rule,7
BAJFINANCE.NS,2025-06-09,955.0,2025-06-20,897.0,10,-598.52,-6.26,Exit rule,11
HINDPETRO.NS,2025-06-17,393.95,2025-06-20,389.5,25,-130.84,-1.33,Exit rule,3
APOLLOHOSP.NS,2025-06-06,6867.0,2025-06-30,7336.5,1,455.3,6.62,Exit rule,24
RELIANCE.NS,2025-06-06,1441.0,2025-07-02,1528.4,6,506.58,5.85,Exit rule,26
