Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
ERIS.NS,2024-10-10,1440.15,2024-12-24,1327.1,6,-694.9,-8.03,Exit rule,75
CUB.NS,2024-10-23,123.0,2024-12-24,130.5,81,586.97,5.89,Exit rule,62
COCHINSHIP.NS,2024-11-28,1563.0,2024-12-24,1468.0,6,-588.19,-6.27,Exit rule,26
AUROPHARMA.NS,2024-12-31,1302.0,2025-01-10,1248.4,7,-393.05,-4.31,Exit rule,10
RADICO.NS,2024-10-17,2238.0,2025-01-13,2235.3,4,-28.69,-0.32,Exit rule,88
PERSISTENT.NS,2024-06-10,3855.0,2025-01-14,6047.5,2,4365.2,56.56,Exit rule,218
COFORGE.NS,2024-10-24,1507.0,2025-01-14,1750.8,6,1443.25,15.95,Exit rule,82
HCLTECH.NS,2024-06-07,1407.0,2025-01-15,1836.0,7,2980.3,30.23,Exit rule,222
OIL.NS,2025-01-06,484.05,2025-01-27,424.5,20,-1209.17,-12.48,Exit rule,21
HAL.NS,2025-01-21,4210.0,2025-01-28,3675.8501,2,-1084.07,-12.86,Exit rule,7
COFORGE.NS,2025-01-24,1820.0,2025-02-03,1595.0,5,-1142.07,-12.54,Exit rule,10
TRENT.NS,2025-02-03,6210.0,2025-02-07,5321.3999,1,-900.13,-14.48,Exit rule,4
JUBLFOOD.NS,2025-02-03,735.0,2025-02-13,640.0,13,-1252.87,-13.1,Exit rule,10
NATCOPHARM.NS,2025-02-07,1332.65,2025-02-14,950.0,7,-2694.53,-28.86,Exit rule,7
BEL.NS,2025-02-01,295.95,2025-02-17,248.95,33,-1568.98,-16.05,Exit rule,16
TVSMOTOR.NS,2025-01-30,2459.05,2025-02-18,2360.5,4,-413.48,-4.2,Exit rule,19
GRASIM.NS,2025-01-27,2475.5,2025-03-03,2328.5,4,-607.22,-6.13,Exit rule,35
SUZLON.NS,2025-02-01,60.5,2025-03-03,50.05,165,-1742.49,-17.44,Exit rule,30
INOXWIND.NS,2025-01-30,164.76,2025-03-04,143.5,60,-1294.1,-13.08,Exit rule,33
KALYANKJIL.NS,2025-02-05,567.0,2025-03-10,438.0,17,-2210.08,-22.91,Exit rule,33
LUPIN.NS,2025-03-24,2129.0,2025-04-02,1959.25,4,-695.35,-8.16,Exit rule,9
SUNPHARMA.NS,2025-03-18,1704.3,2025-04-08,1645.0,5,-313.25,-3.67,Exit rule,21
INDHOTEL.NS,2025-03-20,821.8,2025-04-08,765.0,12,-700.64,-7.1,Exit rule,19
LLOYDSME.NS,2025-03-20,1260.0,2025-04-08,1151.0,7,-779.88,-8.83,Exit rule,19
KOTAKBANK.NS,2025-04-21,439.0,2025-05-06,417.2,22,-498.44,-5.16,Exit rule,15
JSWSTEEL.NS,2025-04-22,1060.0,2025-05-06,960.0,9,-918.18,-9.61,Exit rule,14
MAZDOCK.NS,2025-04-22,2780.0,2025-06-13,3146.1001,3,1080.52,12.94,Exit rule,52
BSE.NS,2025-03-24,1613.3334,2025-06-16,2725.0,6,6643.97,68.57,Exit rule,84
PAYTM.NS,2025-03-28,812.85,2025-06-17,882.0,12,809.46,8.29,Exit rule,81
MCX.NS,2025-03-21,1076.78,2025-07-14,1615.0,9,4819.75,49.68,Exit rule,115
ADANIPORTS.NS,2025-07-01,1450.3,2025-07-29,1376.0,6,-462.76,-5.31,Exit rule,28
GODREJCP.NS,2025-07-08,1252.5,2025-07-30,1215.4,7,-276.98,-3.16,Exit rule,22
